S.No.,Items,Self-Assessment,Evidence
17,Use of syntax checkers,1,"pylint is present

https://github.com/SE21-Team2/slash/blob/main/.github/workflows/python-app.yml"
18,Use of code coverage,3,https://app.codecov.io/gh/SE21-Team2/slash 
19,Other automated analysis tools,0,Not present
20,Test cases exist,3,"pylint is present
https://github.com/SE21-Team2/slash/blob/main/.github/workflows/python-app.yml 

.travis.yml is present
https://github.com/SE21-Team2/slash/blob/main/.travis.yml "
21,Test cases are routinely executed,0,"Test cases are not routinely checked
https://github.com/SE21-Team2/slash/actions "
22,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/SE21-Team2/slash/blob/main/CONTRIBUTING.md 
23,Issues are discussed before they are closed,0,Discussion forum does not exist
24,Chat channel: exists,0,Discussion forum does not exist
25,Test cases: a large proportion of the issues related to handling failing cases.,1,"Not many issues related to failing cases 
https://github.com/SE21-Team2/slash/issues?q=is%3Aissue+is%3Aclosed "
26,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,https://github.com/SE21-Team2/slash/blob/main/requirements.txt 
27,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,https://github.com/SE21-Team2/slash/blob/main/requirements.txt 
28,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,"https://github.com/SE21-Team2/slash/blob/main/requirements.txt 
"
29,Evidence that the members of the team are working across multiple places in the code base,2,https://github.com/SE21-Team2/slash/commits/main
30,Short release cycles,1,"Only one release version

https://github.com/SE21-Team2/slash/releases "
,Total items in sustainability evaluation,,
,Q1 - What your software does,,
Q1.1,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,
Q1.2,Does your website and documentation clearly describe the type of user who should use your software?,Yes,
Q1.3,Do you publish case studies to show how your software has been used by yourself and others?,Yes,
,Q2 - Your project's and software's identity,,
Q2.1,Is the name of your project/software unique?,Yes,
Q2.2,Is your project/software name free from trademark violations?,Yes,
,Q3 - Availability of your software,,
Q3.1,Is your software available as a package that can be deployed without building it?,No,
Q3.2,Is your software available for free?,Yes,
Q3.3,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,
Q3.4,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,
,Q4 - Your software's documentation,,
Q4.1,Is your documentation clearly available on your website or within your software?,Yes,
Q4.2,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,
Q4.3,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Not Applicable,
Q4.4,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,
Q4.5,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
Q4.6,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Not Applicable,
Q4.7,Do you store your documentation under revision control with your source code?,No,
Q4.8,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",No,
,Q5 - How you support your software,,
Q5.1,Does your software describe how a user can get help with using your software?,No,
Q5.2,"Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,
Q5.3,Does your project have an e-mail address or forum that is solely for supporting users?,No,
Q5.4,Are e-mails to your support e-mail address received by more than one person?,Not Applicable,
Q5.5,Does your project have a ticketing system to manage bug reports and feature requests?,No,
Q5.6,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Not Applicable,
,Q6 - Your software's maintainability,,
Q6.1,Is your software’s architecture and design modular?,Yes,
Q6.2,Does your software use an accepted coding standard or convention?,Yes,
,Q7 - Open standards and your software,,
Q7.1,"Does your software allow data to be imported and exported using open data formats?
e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Yes,
Q7.2,"Does your software allow communications using open communications protocols?
e.g. HTTP, FTP, XMPP, SOAP over HTTP, or domain-specific ones",Yes,
,Q8 - Your software's portability,,
Q8.1,"Is your software cross-platform compatible?
e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Yes,
,Q9 - Your software and accessibility,,
Q9.1,Does your software adhere to appropriate accessibility conventions or standards?,No,
Q9.2,Does your documentation adhere to appropriate accessibility conventions or standards?,No,
,Q10 - How you manage your source code,,
Q10.1,Is your source code stored in a repository under revision control?,Yes,
Q10.2,Is each source code release a snapshot of the repository?,Yes,
Q10.3,Are releases tagged in the repository?,Yes,
Q10.4,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,
Q10.5,Do you back-up your repository?,No,
,Q11 - Building and installing your software,,
Q11.1,Do you provide publicly-available instructions for building your software from the source code?,Yes,
Q11.2,"Can you build, or package, your software using an automated tool?*
e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",No,
Q11.3,Do you provide publicly-available instructions for deploying your software?,No,
Q11.4,Does your documentation list all third-party dependencies?,Yes,
Q11.5,Does your documentation list the version number for all third-party dependencies?,Yes,
Q11.6,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or or optional?",No,
Q11.7,"Can you download dependencies using a dependency management tool or package manager?*
e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes,
Q11.8,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,
,Q12 - How you test your software,,
Q12.1,Do you have an automated test suite for your software?,No,
Q12.2,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
Q12.3,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,
Q12.4,Are your test results publicly visible?,Yes,
Q12.5,Are all manually-run tests documented?,Yes,
,Q13 - How you engage with your community,,
Q13.1,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
e.g. release announcements, publications, workshops, conference presentations",No,
Q13.2,Does your website state how many projects and users are associated with your project?,No,
Q13.3,Do you provide success stories on your website?,No,
Q13.4,Do you list your important partners and collaborators on your website?,Not Applicable,
Q13.5,Do you list your project's publications on your website or link to a resource where these are available?,No,
Q13.6,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Q13.7,Can users subscribe to notifications to changes to your source code repository?,Yes,
Q13.8,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
,Q14 - How you manage contributions,,
Q14.1,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,
Q14.2,Do you have a contributions policy?,Yes,
Q14.3,Is your contributions' policy publicly available?,Yes,
Q14.4,Do contributors keep the copyright/IP of their contributions?,Yes,
,Q15 - Your software's copyright and licensing,,
Q15.1,Does your website and documentation clearly state the copyright owners of your software and documentation?,No,
Q15.2,Does each of your source code files include a copyright statement?,No,
Q15.3,Does your website and documentation clearly state the license of your software?,Yes,
Q15.4,Is your software released under an open source license?,Yes,
Q15.5,Is your software released under an OSI-approved open-source license?,Yes,
Q15.6,Does each of your source code files include a license header?,No,
Q15.7,Do you have a recommended citation for your software?,No,
,Q16 - Your plans for the future,,
Q16.1,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",No,
Q16.2,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
Q16.3,"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
